x_Timestamp,potencia,voltagem,corrente,frequencia,meter
2020-01-01 00:00:00,1,0,4,0,BR02
2020-01-05 00:03:00,0.005,251.23,1,49.94,BR02
2020-01-01 00:06:00,2,251.55,2,49.94,BR50
2020-01-01 00:09:00,0,251.97,2,50.09,BR02
2020-01-01 00:12:00,0,252.03,2,50.08,BR02
2020-01-01 00:15:00,0.015,251.78,1,50.0,BR02
2020-01-01 00:18:00,0,251.75,2,0,BR20
2020-01-01 00:21:00,0,251.95,1,50.0,BR46
2020-01-01 00:24:00,0.002,0,2,49.96,BR31
2020-01-01 00:27:00,0.046,252.05,1,49.95,BR02
2020-01-01 00:30:00,0.1,252.15,2,50.0,BR29
2020-01-07 00:33:00,0.001,252.1,1,49.98,BR40
2020-01-13 00:36:00,0.016,252.31,2,50.0,BR02
2022-01-10 00:39:00,0.002,252.57,1,50.02,BR02
2022-01-10 00:39:00,0.002,252.57,1,50.02,BR02


